keywordName,keywordType,keywordAlias
아이유,가수,IU|이지은
태연,가수,Taeyeon|김태연
10CM,가수,10cm|십센치
방탄소년단,가수,BTS|Bangtan Boys|방탄소년단
멜로망스,가수,멜로망스
볼빨간사춘기,가수,Bolbbalgan4|BOL4|볼빨간사춘기
윤종신,가수,윤종신
SHINee,가수,shinee|샤이니
NewJeans,가수,newjeans|뉴진스
IVE,가수,ive|아이브
LE SSERAFIM,가수,le sserafim|르세라핌
aespa,가수,aespa|에스파
i-dle,가수,(G)I-DLE|(여자)아이들|아이들
TWICE,가수,twice|트와이스
BLACKPINK,가수,blackpink|블랙핑크
Red Velvet,가수,redvelvet|레드벨벳
ITZY,가수,itzy|있지
STAYC,가수,stayc|스테이씨
프로미스나인,가수,fromis_9|프로미스나인|프로미스 나인
NMIXX,가수,nmixx|엔믹스
EXID,가수,exid
Apink,가수,apink|에이핑크
소녀시대,가수,Girls' Generation|소녀시대
세븐틴,가수,SEVENTEEN|세븐틴
EXO,가수,exo
WINNER,가수,WINNER
BIGBANG,가수,BIGBANG|빅뱅
iKON,가수,iKON|아이콘
윤하,가수,Younha|윤하
버스커버스커,가수,Busker Busker|버스커버스커|장범준
DAY6,가수,DAY6|데이식스
한동근,가수,한동근
성시경,가수,성시경
마마무,가수,MAMAMOO|마마무
원더걸스,가수,Wonder Girls|원더걸스
티아라,가수,T-ara|티아라
시크릿,가수,Secret|시크릿
씨스타,가수,SISTAR|씨스타
AOA,가수,AOA|에이오에이
비스트,가수,BEAST|비스트|Highlight
SUPER JUNIOR,가수,Super Junior|슈퍼주니어
2PM,가수,2PM
블락비,가수,Block B|블락비
FTISLAND,가수,FTISLAND|F.T. Island|FT Island|에프티아일랜드
버즈,가수,Buzz|버즈
CNBLUE,가수,CNBLUE|씨엔블루
지코,가수,ZICO|Woo Ji Ho|지코
박효신,가수,Park Hyo Shin|박효신
이문세,가수,Lee Moon Sae|이문세
2NE1,가수,2NE1|투애니원
G-DRAGON,가수,G-Dragon|GD|지드래곤|권지용
리쌍,가수,Leessang|리쌍
장범준,가수,Jang Beom June|장범준|버스커버스커
걸스데이,가수,Girl's Day|걸스데이
ILLIT,가수,ILLIT|아일릿
이적,가수,Lee Juck|이적
청하,가수,Chungha|청하
선미,가수,SUNMI|선미
사랑,제목
봄,제목
여름,제목
가을,제목
겨울,제목
바다,제목
비,제목
태양,제목
이별,제목
기억,제목
너,제목
나,제목
그대,제목
사람,제목
눈물,제목
세상,제목
하루,제목
우리,제목
집,제목
MC몽,가수,MC Mong|MC몽
박재정,가수,박재정
마크툽,가수,MAKTUB|마크툽
김필,가수,김필
노라조,가수,Norazo|노라조
다이나믹 듀오,가수,Dynamic Duo|다이나믹 듀오
변진섭,가수,변진섭
너드커넥션,가수,Nerd Connection|너드커넥션
에일리,가수,Ailee|에일리
스탠딩 에그,가수,Standing Egg|스탠딩 에그
QWER,가수,QWER|큐더블유이알
로이킴,가수,Roy Kim|로이킴
기리보이,가수,Giriboy|기리보이
헤이즈,가수,Heize|헤이즈
태양,가수,Taeyang|동영배|태양
임영웅,가수,임영웅
폴킴,가수,Paul Kim|폴킴
임창정,가수,임창정
정승환,가수,정승환
부활,가수,부활
엠씨더맥스,가수,MC the Max|엠씨더맥스
ROSÉ,가수,ROSÉ|Rose|로제|박채영
이무진,가수,Lee Mujin|이무진
이승기,가수,Lee Seung Gi|이승기
이승철,가수,Lee Seung Chul|이승철
이선희,가수,Lee Sun Hee|이선희
나얼,가수,Naul|나얼
김범수,가수,Kim Bum Soo|김범수
거미,가수,Gummy|거미
BE'O,가수,BE'O|BEO|비오
Crush,가수,Crush|크러쉬
DEAN,가수,DEAN|딘
박재범,가수,Jay Park|박재범
로꼬,가수,Loco|로꼬
Zion.T,가수,Zion.T|자이언티
빈지노,가수,Beenzino|빈지노
The Quiett,가수,The Quiett|더 콰이엇
긱스,가수,Geeks|긱스
허각,가수,Heo Gak|허각
노을,가수,Noel|노을
브라운 아이드 소울,가수,Brown Eyed Soul|브라운 아이드 소울
브라운아이드걸스,가수,Brown Eyed Girls|브라운아이드걸스
SG 워너비,가수,SG Wannabe|SG 워너비
빅마마,가수,Big Mama|빅마마
씨야,가수,SeeYa|씨야
카라,가수,Kara|카라
이하이,가수,Lee Hi|이하이
에픽하이,가수,Epik High|에픽하이
Nilo,가수,Nilo|닐로
김광석,가수,김광석
조용필,가수,Cho Yong Pil|조용필
Yang Hee Eun,가수,Yang Hee Eun|양희은
김건모,가수,Kim Gun Mo|김건모
김연우,가수,Kim Yeon Woo|김연우
린,가수,Lyn|린
백예린,가수,Baek Yerin|백예린
정은지,가수,Jung Eun Ji|정은지
윤미래,가수,Yoonmirae|윤미래|Tasha
Tiger JK,가수,Tiger JK|타이거 JK|드렁큰타이거
비,가수,Rain|비|정지훈
싸이,가수,PSY|싸이|박재상
장기하와 얼굴들,가수,Kiha & The Faces|장기하와 얼굴들
잔나비,가수,Jannabi|잔나비
혁오,가수,Hyukoh|혁오
HANRORO,가수,HANRORO
임재현,가수,임재현
전상근,가수,전상근
거북이,가수,Turtles|거북이
김태우,가수,Kim Tae Woo|김태우
#안녕,가수,#Annyeong|#안녕
자우림,가수,Jaurim|자우림
소찬휘,가수,So Chan Whee|소찬휘
정준일,가수,Jung Joon Il|정준일
박명수,가수,Park Myung Soo|박명수
Bank,가수,Bank|뱅크
황인욱,가수,Hwang In Wook|황인욱
YB,가수,YB|윤도현밴드|Yoon Do Hyun Band|윤도현
야다,가수,Yada|야다
코요태,가수,Koyote|코요태
다비치,가수,Davichi|다비치
안예은,가수,AN YE EUN|안예은
규현,가수,Kyuhyun|규현
카더가든,가수,Car the Garden|카더가든
더 원,가수,The One|더 원
제시,가수,Jessi|제시
가호,가수,Gaho|가호
알리,가수,ALi|알리
신용재,가수,Shin Yong Jae|신용재
전영호,가수,전영호
백지영,가수,Baek Ji Young|백지영
홍진영,가수,Hong Jin Young|홍진영
송가인,가수,Song Ga In|송가인
서태지와 아이들,가수,Seo Taiji and Boys|서태지와 아이들
노브레인,가수,No Brain|노브레인
장윤정,가수,Jang Yoon Jeong|장윤정
김연자,가수,Kim Yeon Ja|김연자
대성,가수,Daesung|대성
남진,가수,Nam Jin|남진
태진아,가수,Tae Jin Ah|태진아
송대관,가수,Song Dae Kwan|송대관
쿨,가수,COOL|쿨
ZAZA,가수,ZAZA|자자
하하,가수,HaHa|하하
투어스,가수,투어스
동방신기,가수,TVXQ|동방신기
보아,가수,BoA|보아
H.O.T.,가수,H.O.T.|HOT|에이치오티
RIIZE,가수,RIIZE|라이즈
god,가수,g.o.d|god
오렌지 캬라멜,가수,Orange Caramel|오렌지 캬라멜
울랄라세션,가수,Ulala Session|울랄라세션
먼데이 키즈,가수,Monday Kiz|먼데이 키즈
V.O.S,가수,V.O.S|브이오에스
임한별,가수,Lim Han Byul|임한별
장덕철,가수,장덕철
정동하,가수,Jung Dong Ha|정동하
왁스,가수,Wax|왁스
토이,가수,Toy|토이
김동률,가수,Kim Dong Ryul|김동률|전람회
WOODZ,가수,WOODZ|우즈|조승연
더 넛츠,가수,The Nuts|더 넛츠
DK,가수,DK|디케이
AKMU,가수,AKMU|악동뮤지션|Akdong Musician
체리필터,가수,Cherry Filter|체리필터
Yoo Jung Seok,가수,Yoo Jung Seok|유정석
Junyfore,가수,Junyfore
김경호,가수,Kim Kyung Ho|김경호
JUNIEL,가수,JUNIEL|주니엘
더 크로스,가수,The Cross|더 크로스
DELISPICE,가수,DELISPICE|델리스파이스
무한궤도,가수,무한궤도
하현우,가수,Ha Hyun Woo|하현우
박완규,가수,Park Wan Kyu|박완규
수퍼비,가수,Superbee|수퍼비
BewhY,가수,BewhY|비와이
CJAMM,가수,CJamm|씨잼
넬,가수,Nell|넬
엔플라잉,가수,N.Flying|엔플라잉